ID,In VCF?,Li,Na,Mg,P,S,K,Ca,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Rb,Sr,Mo,Cd
(WOK)_CWY_1,n,0.123056833,7046.23809,1113.189947,62.39222946,1039.686134,465.5768124,714.3320435,20.51172106,180.2291228,0.090549304,1.166269438,7.164024134,52.71027554,1.074953111,0.603210696,0.440045943,6.441473076,0.141138223,0.136806092
(WOK)_CWY_2,n,0.132564604,7201.729745,1140.344131,48.61633317,922.747859,482.9736468,730.0020379,20.04509959,180.1769806,0.087780879,1.118720626,6.901348631,40.010916,0.844324445,0.474687168,0.447241345,6.92446498,0.128096819,0.11634507
(WOK)_CWY_3,n,0.130559575,6968.685213,1172.167124,48.96707713,920.7140667,465.3839941,743.3979075,21.40111336,186.5630235,0.098440672,1.164502677,6.863968839,39.6744183,0.830185002,0.449197343,0.445703072,6.905561743,0.131942764,0.114866075
JOR_1,y,0.004315935,6.19018093,50.84785448,9.998648374,30.32248151,45.25516859,128.7277067,6.487673045,7.582185219,0.08878987,1.549725648,13.9040854,1360.193962,0.199012758,1.025944459,0.505642982,0.381602962,0.023602921,3.757644393
JOR_2,n,0.004266722,4.619017455,50.18690446,11.7519942,17.29641665,44.80140315,182.5704642,7.331382624,6.82114902,0.098180957,1.730438505,15.32448983,2177.264708,0.249195623,1.079322875,0.515080739,0.454771902,0.017245533,4.778367452
JOR_3,y,0.016681755,4.755239729,54.575733,11.9782543,36.54067923,49.94907901,182.659933,8.483819313,20.6055818,0.102283013,1.700393932,14.9404863,1728.695881,0.241863099,1.329000129,0.557507762,0.458512561,0.018095808,4.165528027
JOR_12,Avg,0.008421471,5.188146038,51.87016398,11.24296562,28.05319246,46.66855025,164.6527013,7.434291661,11.66963868,0.096417947,1.660186028,14.72302051,1755.38485,0.230023827,1.144755821,0.526077161,0.431629142,0.019648087,4.233846624
JOR_13,Avg,0.008421471,5.188146038,51.87016398,11.24296562,28.05319246,46.66855025,164.6527013,7.434291661,11.66963868,0.096417947,1.660186028,14.72302051,1755.38485,0.230023827,1.144755821,0.526077161,0.431629142,0.019648087,4.233846624
AAH_1,y,0.1,1861.4,605,13.3,60.7,416.7,574.7,18,49.2,0.1,5.3,3.7,2.1,0.3,0,0.5,5.4,0,0
AAH_2,Avg,0.1,1861.4,605,13.3,60.7,416.7,574.7,18,49.2,0.1,5.3,3.7,2.1,0.3,0,0.5,5.4,0,0
AAH_3,Avg,0.1,1861.4,605,13.3,60.7,416.7,574.7,18,49.2,0.1,5.3,3.7,2.1,0.3,0,0.5,5.4,0,0
AAH_4,Avg,0.1,1861.4,605,13.3,60.7,416.7,574.7,18,49.2,0.1,5.3,3.7,2.1,0.3,0,0.5,5.4,0,0
ADE-J_1a,n,0.355390763,43335.70355,4585.691051,120.8750367,7220.653125,2822.73314,1331.965819,120.1384054,428.4271099,1.152410987,3.340114564,13.5720095,50.49677206,1.580983006,1.066103947,0.846124406,18.21893835,0.663405081,0.121951015
ADE-J_1b,n,0.384155794,45381.60052,4749.949331,98.95292469,6471.157711,2983.030567,1323.319963,119.6815742,426.7033708,1.182219173,3.284315246,13.20291349,39.00173607,1.17658465,1.073773179,0.874675988,18.48820482,0.667703304,0.109611557
