ID,In VCF?,As,Ca,Cd,Co,Cu,Fe,K,Li,Mg,Mn,Mo,Na,Ni,P,Rb,S,Se,Sr,Zn
(WOK)_CWY_1,n,1.074953111,714.3320435,0.136806092,0.090549304,7.164024134,180.2291228,465.5768124,0.123056833,1113.189947,20.51172106,0.141138223,7046.23809,1.166269438,62.39222946,0.440045943,1039.686134,0.603210696,6.441473076,52.71027554
(WOK)_CWY_2,n,0.844324445,730.0020379,0.11634507,0.087780879,6.901348631,180.1769806,482.9736468,0.132564604,1140.344131,20.04509959,0.128096819,7201.729745,1.118720626,48.61633317,0.447241345,922.747859,0.474687168,6.92446498,40.010916
(WOK)_CWY_3,n,0.830185002,743.3979075,0.114866075,0.098440672,6.863968839,186.5630235,465.3839941,0.130559575,1172.167124,21.40111336,0.131942764,6968.685213,1.164502677,48.96707713,0.445703072,920.7140667,0.449197343,6.905561743,39.6744183
AAH_1,y,0.3,574.7,0,0.1,3.7,49.2,416.7,0.1,605,18,0,1861.4,5.3,13.3,0.5,60.7,0,5.4,2.1
AAH_2,Avg,0.3,574.7,0,0.1,3.7,49.2,416.7,0.1,605,18,0,1861.4,5.3,13.3,0.5,60.7,0,5.4,2.1
AAH_3,Avg,0.3,574.7,0,0.1,3.7,49.2,416.7,0.1,605,18,0,1861.4,5.3,13.3,0.5,60.7,0,5.4,2.1
AAH_4,Avg,0.3,574.7,0,0.1,3.7,49.2,416.7,0.1,605,18,0,1861.4,5.3,13.3,0.5,60.7,0,5.4,2.1
ADE-J_1a,n,1.580983006,1331.965819,0.121951015,1.152410987,13.5720095,428.4271099,2822.73314,0.355390763,4585.691051,120.1384054,0.663405081,43335.70355,3.340114564,120.8750367,0.846124406,7220.653125,1.066103947,18.21893835,50.49677206
ADE-J_1b,n,1.17658465,1323.319963,0.109611557,1.182219173,13.20291349,426.7033708,2983.030567,0.384155794,4749.949331,119.6815742,0.667703304,45381.60052,3.284315246,98.95292469,0.874675988,6471.157711,1.073773179,18.48820482,39.00173607
ADE-J_1c,n,1.415657913,1280.389867,0.127254653,1.163378372,13.47897376,421.1727118,2910.205631,0.351170891,4589.064117,113.7447901,0.672586929,42641.86782,3.249553104,108.3734943,0.86807784,6548.795146,1.243030575,18.91441198,47.19455887
ALO_1,n,0.749861386,674.7411574,0.116655235,0.125791465,10.06508357,160.0342548,317.4860529,0.229960089,559.6251924,31.3932397,0.033862917,1890.116135,1.269724833,48.40472109,0.144515698,126.8854396,0.99401995,5.988229317,43.06339683
ALO_13,Avg,0.672966703,702.8075939,0.095957236,0.117812921,9.264488469,156.3899101,317.7862997,0.238371161,556.1668926,28.12586224,0.032727271,1852.698575,1.211820857,40.01333614,0.144339597,123.9457574,1.142359286,6.552326113,31.25055552
ALO_17,Avg,0.672966703,702.8075939,0.095957236,0.117812921,9.264488469,156.3899101,317.7862997,0.238371161,556.1668926,28.12586224,0.032727271,1852.698575,1.211820857,40.01333614,0.144339597,123.9457574,1.142359286,6.552326113,31.25055552
ALO_2,n,0.645918373,697.9794781,0.08710872,0.112963972,8.650985393,155.6432617,312.5221546,0.238947252,541.371537,25.28845443,0.03100725,1780.633397,1.17357495,35.65213263,0.141446392,108.0925557,1.330510922,6.603900576,29.27114848
ALO_3,n,0.62312035,735.7021463,0.084107754,0.114683327,9.077396444,153.4922139,323.3506915,0.246206143,567.5039484,27.69589259,0.033311646,1887.346192,1.192162787,35.98315471,0.147056701,136.8592768,1.102546986,7.064848445,21.41712126
ALO_6,Avg,0.672966703,702.8075939,0.095957236,0.117812921,9.264488469,156.3899101,317.7862997,0.238371161,556.1668926,28.12586224,0.032727271,1852.698575,1.211820857,40.01333614,0.144339597,123.9457574,1.142359286,6.552326113,31.25055552
ALO_7,Avg,0.672966703,702.8075939,0.095957236,0.117812921,9.264488469,156.3899101,317.7862997,0.238371161,556.1668926,28.12586224,0.032727271,1852.698575,1.211820857,40.01333614,0.144339597,123.9457574,1.142359286,6.552326113,31.25055552
ALSTON_1,n,0.274840392,632.6364945,0.527143113,0.039447504,2.458966849,65.67092001,17.89596237,0.002734941,14.72596471,7.070729983,0.006518231,8.700263013,0.432595804,3.899328599,0.313001599,41.47075061,0.413503832,2.943678614,116.7599823
