"","GO.ID","Term","Annotated","Significant","Expected","Rank in elimFisher","classicFisher","elimFisher"
"1","GO:0010025","wax biosynthetic process",44,2,0.08,1,"0.003","0.0030"
"2","GO:0071396","cellular response to lipid",981,6,1.81,2,"0.175","0.0088"
"3","GO:0009651","response to salt stress",725,5,1.34,3,"0.010","0.0104"
"4","GO:1902065","response to L-glutamate",6,1,0.01,4,"0.011","0.0110"
"5","GO:0032978","protein insertion into membrane from inner side",6,1,0.01,5,"1.000","0.0110"
"6","GO:0032979","protein insertion into mitochondrial inner membrane from matrix",6,1,0.01,6,"0.011","0.0110"
"7","GO:0006950","response to stress",5399,17,9.97,7,"1.000","0.0118"
"8","GO:0006970","response to osmotic stress",1060,6,1.96,8,"0.433","0.0126"
"9","GO:0010244","response to low fluence blue light stimulus by blue low-fluence system",7,1,0.01,9,"0.013","0.0129"
"10","GO:0010483","pollen tube reception",8,1,0.01,10,"0.015","0.0147"
"11","GO:0048497","maintenance of floral organ identity",8,1,0.01,11,"0.015","0.0147"
"12","GO:0090700","maintenance of plant organ identity",8,1,0.01,12,"1.000","0.0147"
"13","GO:1901700","response to oxygen-containing compound",3337,12,6.16,13,"1.000","0.0150"
"14","GO:0009863","salicylic acid mediated signaling pathway",104,2,0.19,14,"0.101","0.0158"
"15","GO:0045740","positive regulation of DNA replication",9,1,0.02,15,"0.016","0.0165"
"16","GO:0002679","respiratory burst involved in defense response",9,1,0.02,16,"0.016","0.0165"
"17","GO:0045596","negative regulation of cell differentiation",10,1,0.02,17,"1.000","0.0183"
"18","GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",10,1,0.02,18,"0.018","0.0183"
"19","GO:0045487","gibberellin catabolic process",11,1,0.02,19,"0.020","0.0201"
"20","GO:0045730","respiratory burst",11,1,0.02,20,"1.000","0.0201"
"21","GO:0060148","positive regulation of post-transcriptional gene silencing",11,1,0.02,21,"0.020","0.0201"
"22","GO:0016103","diterpenoid catabolic process",11,1,0.02,22,"1.000","0.0201"
"23","GO:0051703","biological process involved in intraspecies interaction between organisms",12,1,0.02,23,"1.000","0.0219"
"24","GO:0014070","response to organic cyclic compound",878,5,1.62,24,"0.407","0.0221"
"25","GO:0050832","defense response to fungus",879,5,1.62,25,"0.022","0.0222"
"26","GO:0006074","(1->3)-beta-D-glucan metabolic process",13,1,0.02,26,"1.000","0.0237"
"27","GO:0006075","(1->3)-beta-D-glucan biosynthetic process",13,1,0.02,27,"0.024","0.0237"
"28","GO:0005987","sucrose catabolic process",13,1,0.02,28,"0.024","0.0237"
"29","GO:0010225","response to UV-C",13,1,0.02,29,"0.024","0.0237"
"30","GO:0032922","circadian regulation of gene expression",13,1,0.02,30,"0.024","0.0237"
"31","GO:0090502","RNA phosphodiester bond hydrolysis, endonucleolytic",14,1,0.03,31,"1.000","0.0256"
"32","GO:0000478","endonucleolytic cleavage involved in rRNA processing",14,1,0.03,32,"1.000","0.0256"
"33","GO:0000479","endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",14,1,0.03,33,"0.026","0.0256"
"34","GO:0071446","cellular response to salicylic acid stimulus",136,2,0.25,34,"1.000","0.0261"
"35","GO:0006814","sodium ion transport",15,1,0.03,35,"0.027","0.0274"
"36","GO:0010093","specification of floral organ identity",15,1,0.03,36,"0.027","0.0274"
"37","GO:0030308","negative regulation of cell growth",15,1,0.03,37,"0.027","0.0274"
"38","GO:0090701","specification of plant organ identity",16,1,0.03,38,"1.000","0.0291"
"39","GO:0009751","response to salicylic acid",364,3,0.67,39,"0.334","0.0295"
"40","GO:0009862","systemic acquired resistance, salicylic acid mediated signaling pathway",17,1,0.03,40,"0.031","0.0309"
"41","GO:0046352","disaccharide catabolic process",17,1,0.03,41,"1.000","0.0309"
"42","GO:0010833","telomere maintenance via telomere lengthening",17,1,0.03,42,"0.031","0.0309"
"43","GO:0045039","protein insertion into mitochondrial inner membrane",17,1,0.03,43,"0.031","0.0309"
"44","GO:0007007","inner mitochondrial membrane organization",19,1,0.04,44,"1.000","0.0345"
"45","GO:0051707","response to other organism",2500,9,4.62,45,"1.000","0.0361"
"46","GO:0043207","response to external biotic stimulus",2500,9,4.62,46,"1.000","0.0361"
"47","GO:0005983","starch catabolic process",20,1,0.04,47,"0.036","0.0363"
"48","GO:0051865","protein autoubiquitination",20,1,0.04,48,"0.036","0.0363"
"49","GO:0051204","protein insertion into mitochondrial membrane",20,1,0.04,49,"1.000","0.0363"
"50","GO:0030522","intracellular receptor signaling pathway",20,1,0.04,50,"1.000","0.0363"
"51","GO:0009785","blue light signaling pathway",20,1,0.04,51,"0.036","0.0363"
"52","GO:0009607","response to biotic stimulus",2504,9,4.62,52,"1.000","0.0364"
"53","GO:0044419","biological process involved in interspecies interaction between organisms",2513,9,4.64,53,"1.000","0.0371"
"54","GO:0009056","catabolic process",2127,8,3.93,54,"0.139","0.0385"
"55","GO:0009313","oligosaccharide catabolic process",22,1,0.04,55,"1.000","0.0399"
"56","GO:0016115","terpenoid catabolic process",22,1,0.04,56,"1.000","0.0399"
"57","GO:0044237","cellular metabolic process",11864,28,21.91,57,"1.000","0.0409"
"58","GO:0090151","establishment of protein localization to mitochondrial membrane",23,1,0.04,58,"1.000","0.0416"
"59","GO:0044247","cellular polysaccharide catabolic process",23,1,0.04,59,"1.000","0.0416"
"60","GO:0071482","cellular response to light stimulus",178,2,0.33,60,"0.224","0.0427"
"61","GO:1902074","response to salt",1405,6,2.59,61,"1.000","0.0429"
"62","GO:0009867","jasmonic acid mediated signaling pathway",183,2,0.34,62,"0.221","0.0449"
"63","GO:0002252","immune effector process",25,1,0.05,63,"1.000","0.0452"
"64","GO:0060147","regulation of post-transcriptional gene silencing",25,1,0.05,64,"1.000","0.0452"
"65","GO:0010243","response to organonitrogen compound",185,2,0.34,65,"0.244","0.0458"
"66","GO:0071478","cellular response to radiation",185,2,0.34,66,"1.000","0.0458"
"67","GO:1901575","organic substance catabolic process",1816,7,3.35,67,"1.000","0.0469"
"68","GO:0051054","positive regulation of DNA metabolic process",26,1,0.05,68,"1.000","0.0469"
"69","GO:0048449","floral organ formation",27,1,0.05,69,"1.000","0.0487"
"70","GO:0009987","cellular process",16153,36,29.83,70,"1.000","0.0496"
"71","GO:0006468","protein phosphorylation",1094,5,2.02,71,"0.079","0.0498"
"72","GO:0090501","RNA phosphodiester bond hydrolysis",28,1,0.05,72,"1.000","0.0505"
"73","GO:0008300","isoprenoid catabolic process",28,1,0.05,73,"1.000","0.0505"
"74","GO:0019432","triglyceride biosynthetic process",28,1,0.05,74,"0.050","0.0505"
"75","GO:0007006","mitochondrial membrane organization",28,1,0.05,75,"1.000","0.0505"
"76","GO:0000469","cleavage involved in rRNA processing",28,1,0.05,76,"1.000","0.0505"
"77","GO:0009620","response to fungus",1101,5,2.03,77,"1.000","0.0510"
"78","GO:0046460","neutral lipid biosynthetic process",30,1,0.06,78,"1.000","0.0540"
"79","GO:0046463","acylglycerol biosynthetic process",30,1,0.06,79,"1.000","0.0540"
"80","GO:0009251","glucan catabolic process",30,1,0.06,80,"1.000","0.0540"
"81","GO:0043200","response to amino acid",31,1,0.06,81,"1.000","0.0557"
"82","GO:0071395","cellular response to jasmonic acid stimulus",209,2,0.39,82,"1.000","0.0569"
"83","GO:0051205","protein insertion into membrane",32,1,0.06,83,"1.000","0.0575"
"84","GO:0009645","response to low light intensity stimulus",32,1,0.06,84,"1.000","0.0575"
"85","GO:0051592","response to calcium ion",32,1,0.06,85,"0.057","0.0575"
"86","GO:0071398","cellular response to fatty acid",214,2,0.4,86,"1.000","0.0593"
"87","GO:0006641","triglyceride metabolic process",34,1,0.06,87,"1.000","0.0610"
"88","GO:2000031","regulation of salicylic acid mediated signaling pathway",34,1,0.06,88,"0.061","0.0610"
"89","GO:0045926","negative regulation of growth",35,1,0.06,89,"1.000","0.0627"
"90","GO:0006638","neutral lipid metabolic process",37,1,0.07,90,"1.000","0.0662"
"91","GO:0006639","acylglycerol metabolic process",37,1,0.07,91,"1.000","0.0662"
"92","GO:0044248","cellular catabolic process",1569,6,2.9,92,"0.561","0.0667"
"93","GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",38,1,0.07,93,"0.068","0.0679"
"94","GO:0071483","cellular response to blue light",38,1,0.07,94,"1.000","0.0679"
"95","GO:0016310","phosphorylation",1199,5,2.21,95,"1.000","0.0685"
"96","GO:0006073","cellular glucan metabolic process",234,2,0.43,96,"1.000","0.0694"
"97","GO:0042343","indole glucosinolate metabolic process",40,1,0.07,97,"0.071","0.0713"
"98","GO:0048544","recognition of pollen",40,1,0.07,98,"0.071","0.0713"
"99","GO:0044042","glucan metabolic process",239,2,0.44,99,"1.000","0.0720"
"100","GO:0009737","response to abscisic acid",1217,5,2.25,100,"0.205","0.0721"
"101","GO:0009911","positive regulation of flower development",43,1,0.08,101,"0.076","0.0765"
"102","GO:0000723","telomere maintenance",44,1,0.08,102,"1.000","0.0782"
"103","GO:0042775","mitochondrial ATP synthesis coupled electron transport",44,1,0.08,103,"0.078","0.0782"
"104","GO:0009685","gibberellin metabolic process",44,1,0.08,104,"1.000","0.0782"
"105","GO:0006952","defense response",2468,8,4.56,105,"1.000","0.0792"
"106","GO:0008037","cell recognition",45,1,0.08,106,"1.000","0.0799"
"107","GO:0032200","telomere organization",45,1,0.08,107,"1.000","0.0799"
"108","GO:2000022","regulation of jasmonic acid mediated signaling pathway",45,1,0.08,108,"0.080","0.0799"
"109","GO:0030422","siRNA processing",46,1,0.08,109,"0.082","0.0816"
"110","GO:0005985","sucrose metabolic process",49,1,0.09,110,"1.000","0.0867"
"111","GO:0006626","protein targeting to mitochondrion",49,1,0.09,111,"1.000","0.0867"
"112","GO:0071805","potassium ion transmembrane transport",50,1,0.09,112,"0.088","0.0884"
"113","GO:0009738","abscisic acid-activated signaling pathway",273,2,0.5,113,"0.211","0.0904"
"114","GO:0045595","regulation of cell differentiation",52,1,0.1,114,"1.000","0.0917"
"115","GO:0030490","maturation of SSU-rRNA",52,1,0.1,115,"1.000","0.0917"
"116","GO:0072655","establishment of protein localization to mitochondrion",52,1,0.1,116,"1.000","0.0917"
"117","GO:0070585","protein localization to mitochondrion",52,1,0.1,117,"1.000","0.0917"
"118","GO:0048444","floral organ morphogenesis",52,1,0.1,118,"1.000","0.0917"
"119","GO:1901698","response to nitrogen compound",278,2,0.51,119,"1.000","0.0932"
"120","GO:0044275","cellular carbohydrate catabolic process",53,1,0.1,120,"1.000","0.0934"
"121","GO:0009605","response to external stimulus",3003,9,5.55,121,"1.000","0.0941"
"122","GO:0009057","macromolecule catabolic process",940,4,1.74,122,"1.000","0.0943"
"123","GO:0001101","response to acid chemical",1321,5,2.44,123,"1.000","0.0946"
"124","GO:0071214","cellular response to abiotic stimulus",281,2,0.52,124,"1.000","0.0949"
"125","GO:0104004","cellular response to environmental stimulus",281,2,0.52,125,"1.000","0.0949"
"126","GO:0032870","cellular response to hormone stimulus",1324,5,2.44,126,"0.245","0.0953"
"127","GO:0009617","response to bacterium",1327,5,2.45,127,"0.080","0.0960"
"128","GO:0032259","methylation",284,2,0.52,128,"0.097","0.0966"
"129","GO:0006275","regulation of DNA replication",55,1,0.1,129,"1.000","0.0968"
"130","GO:0098542","defense response to other organism",2167,7,4,130,"1.000","0.1000"
"131","GO:0043412","macromolecule modification",3954,11,7.3,131,"0.470","0.1001"
"132","GO:0042773","ATP synthesis coupled electron transport",57,1,0.11,132,"1.000","0.1001"
"133","GO:0016101","diterpenoid metabolic process",57,1,0.11,133,"1.000","0.1001"
"134","GO:0097305","response to alcohol",1346,5,2.49,134,"1.000","0.1005"
"135","GO:0090305","nucleic acid phosphodiester bond hydrolysis",58,1,0.11,135,"1.000","0.1018"
"136","GO:0071495","cellular response to endogenous stimulus",1354,5,2.5,136,"1.000","0.1024"
"137","GO:0006081","cellular aldehyde metabolic process",61,1,0.11,137,"0.107","0.1068"
"138","GO:0006839","mitochondrial transport",61,1,0.11,138,"1.000","0.1068"
"139","GO:0002376","immune system process",307,2,0.57,139,"1.000","0.1100"
"140","GO:0022904","respiratory electron transport chain",63,1,0.12,140,"1.000","0.1101"
"141","GO:0048571","long-day photoperiodism",64,1,0.12,141,"0.112","0.1117"
"142","GO:1901701","cellular response to oxygen-containing compound",1393,5,2.57,142,"0.736","0.1121"
"143","GO:0006813","potassium ion transport",65,1,0.12,143,"1.000","0.1134"
"144","GO:1905958","negative regulation of cellular response to alcohol",66,1,0.12,144,"1.000","0.1150"
"145","GO:1901420","negative regulation of response to alcohol",66,1,0.12,145,"1.000","0.1150"
"146","GO:0009788","negative regulation of abscisic acid-activated signaling pathway",66,1,0.12,146,"0.115","0.1150"
"147","GO:0009725","response to hormone",2696,8,4.98,147,"1.000","0.1174"
"148","GO:0010150","leaf senescence",326,2,0.6,148,"0.121","0.1215"
"149","GO:2000243","positive regulation of reproductive process",70,1,0.13,149,"1.000","0.1215"
"150","GO:0009719","response to endogenous stimulus",2722,8,5.03,150,"1.000","0.1223"
"151","GO:0005982","starch metabolic process",71,1,0.13,151,"1.000","0.1232"
"152","GO:0006119","oxidative phosphorylation",71,1,0.13,152,"1.000","0.1232"
"153","GO:0071407","cellular response to organic cyclic compound",330,2,0.61,153,"1.000","0.1239"
"154","GO:1901565","organonitrogen compound catabolic process",1044,4,1.93,154,"0.200","0.1255"
"155","GO:0008152","metabolic process",14247,31,26.31,155,"1.000","0.1269"
"156","GO:0006979","response to oxidative stress",675,3,1.25,156,"0.128","0.1280"
"157","GO:0044264","cellular polysaccharide metabolic process",340,2,0.63,157,"1.000","0.1301"
"158","GO:0006807","nitrogen compound metabolic process",10757,24,19.86,158,"1.000","0.1303"
"159","GO:0071215","cellular response to abscisic acid stimulus",341,2,0.63,159,"1.000","0.1307"
"160","GO:0097306","cellular response to alcohol",341,2,0.63,160,"1.000","0.1307"
"161","GO:0036211","protein modification process",3221,9,5.95,161,"0.873","0.1308"
"162","GO:0005984","disaccharide metabolic process",78,1,0.14,162,"1.000","0.1345"
"163","GO:0006796","phosphate-containing compound metabolic process",1901,6,3.51,163,"1.000","0.1347"
"164","GO:0016441","post-transcriptional gene silencing",79,1,0.15,164,"1.000","0.1361"
"165","GO:0070918","regulatory ncRNA processing",79,1,0.15,165,"1.000","0.1361"
"166","GO:0010224","response to UV-B",79,1,0.15,166,"0.136","0.1361"
