"","GO.ID","Term","Annotated","Significant","Expected","Rank in elimFisher","classicFisher","elimFisher"
"1","GO:0071805","potassium ion transmembrane transport",50,2,0.02,1,"9.9e-05","9.9e-05"
"2","GO:0009735","response to cytokinin",134,2,0.04,2,"0.0129","0.00071"
"3","GO:0045892","negative regulation of DNA-templated transcription",232,2,0.07,3,"0.0504","0.00210"
"4","GO:0006814","sodium ion transport",15,2,0,4,"0.0021","0.00211"
"5","GO:0098719","sodium ion import across plasma membrane",7,1,0,5,"0.0022","0.00215"
"6","GO:0043967","histone H4 acetylation",12,1,0,6,"0.0037","0.00369"
"7","GO:1901703","protein localization involved in auxin polar transport",18,1,0.01,7,"0.0055","0.00553"
"8","GO:0010540","basipetal auxin transport",20,1,0.01,8,"0.0061","0.00614"
"9","GO:0010315","auxin export across the plasma membrane",21,1,0.01,9,"0.0064","0.00645"
"10","GO:0098657","import into cell",36,2,0.01,10,"0.0037","0.00763"
"11","GO:0098739","import across plasma membrane",37,2,0.01,11,"0.0040","0.00789"
"12","GO:0051453","regulation of intracellular pH",30,1,0.01,12,"0.0092","0.00920"
"13","GO:0050896","response to stimulus",9120,7,2.81,13,"1.0000","0.00985"
"14","GO:0000122","negative regulation of transcription by RNA polymerase II",37,1,0.01,14,"0.0113","0.01133"
"15","GO:0010017","red or far-red light signaling pathway",53,1,0.02,15,"0.0162","0.01620"
"16","GO:0071489","cellular response to red or far red light",59,1,0.02,16,"1.0000","0.01802"
"17","GO:0009651","response to salt stress",725,2,0.22,17,"0.0192","0.01915"
"18","GO:2000377","regulation of reactive oxygen species metabolic process",65,1,0.02,18,"0.0198","0.01984"
"19","GO:0042542","response to hydrogen peroxide",79,1,0.02,19,"0.0241","0.02406"
"20","GO:0009736","cytokinin-activated signaling pathway",81,1,0.02,20,"0.0247","0.02467"
"21","GO:0009624","response to nematode",82,1,0.03,21,"0.0250","0.02497"
"22","GO:0048767","root hair elongation",85,1,0.03,22,"0.0259","0.02587"
"23","GO:0071368","cellular response to cytokinin stimulus",85,1,0.03,23,"1.0000","0.02587"
"24","GO:0009630","gravitropism",91,1,0.03,24,"0.0277","0.02768"
"25","GO:0009629","response to gravity",102,1,0.03,25,"1.0000","0.03098"
"26","GO:0009628","response to abiotic stimulus",4621,4,1.42,26,"1.0000","0.03517"
"27","GO:0080147","root hair cell development",120,1,0.04,27,"1.0000","0.03636"
"28","GO:0006970","response to osmotic stress",1060,2,0.33,28,"1.0000","0.03898"
"29","GO:0072593","reactive oxygen species metabolic process",132,1,0.04,29,"1.0000","0.03993"
"30","GO:0048469","cell maturation",158,1,0.05,30,"1.0000","0.04763"
"31","GO:0048764","trichoblast maturation",158,1,0.05,31,"1.0000","0.04763"
"32","GO:0048765","root hair cell differentiation",158,1,0.05,32,"1.0000","0.04763"
"33","GO:0000302","response to reactive oxygen species",159,1,0.05,33,"1.0000","0.04793"
"34","GO:0010054","trichoblast differentiation",167,1,0.05,34,"1.0000","0.05028"
"35","GO:0048511","rhythmic process",168,1,0.05,35,"1.0000","0.05058"
"36","GO:0007623","circadian rhythm",168,1,0.05,36,"0.0506","0.05058"
"37","GO:0009606","tropism",175,1,0.05,37,"1.0000","0.05264"
"38","GO:0071482","cellular response to light stimulus",178,1,0.05,38,"1.0000","0.05352"
"39","GO:0071478","cellular response to radiation",185,1,0.06,39,"1.0000","0.05557"
"40","GO:0006338","chromatin remodeling",188,1,0.06,40,"0.0565","0.05645"
"41","GO:0009909","regulation of flower development",188,1,0.06,41,"0.0565","0.05645"
"42","GO:0010053","root epidermal cell differentiation",193,1,0.06,42,"1.0000","0.05791"
"43","GO:0006950","response to stress",5399,4,1.66,43,"1.0000","0.05946"
"44","GO:0048831","regulation of shoot system development",205,1,0.06,44,"1.0000","0.06142"
"45","GO:0042221","response to chemical",5057,5,1.56,45,"1.0000","0.07191"
"46","GO:0090627","plant epidermal cell differentiation",248,1,0.08,46,"1.0000","0.07388"
"47","GO:0104004","cellular response to environmental stimulus",281,1,0.09,47,"1.0000","0.08335"
"48","GO:0071214","cellular response to abiotic stimulus",281,1,0.09,48,"1.0000","0.08335"
"49","GO:0098771","inorganic ion homeostasis",298,1,0.09,49,"0.0882","0.08820"
"50","GO:0048588","developmental cell growth",338,1,0.1,50,"1.0000","0.09951"
"51","GO:0006281","DNA repair",342,1,0.11,51,"0.1006","0.10064"
"52","GO:0009733","response to auxin",425,2,0.13,52,"0.0731","0.10205"
"53","GO:0006325","chromatin organization",354,1,0.11,53,"1.0000","0.10400"
"54","GO:0050789","regulation of biological process",7603,6,2.34,54,"1.0000","0.10535"
"55","GO:0006974","cellular response to DNA damage stimulus",385,1,0.12,55,"1.0000","0.11265"
"56","GO:0071695","anatomical structure maturation",390,1,0.12,56,"1.0000","0.11404"
"57","GO:0021700","developmental maturation",413,1,0.13,57,"1.0000","0.12040"
"58","GO:0009639","response to red or far red light",414,1,0.13,58,"1.0000","0.12068"
"59","GO:0010035","response to inorganic substance",2076,2,0.64,59,"0.4250","0.12847"
"60","GO:0048878","chemical homeostasis",549,2,0.17,60,"1.0000","0.12951"
"61","GO:0006357","regulation of transcription by RNA polymerase II",478,1,0.15,61,"1.0000","0.13817"
"62","GO:0048580","regulation of post-embryonic development",491,1,0.15,62,"1.0000","0.14169"
"63","GO:0042592","homeostatic process",606,2,0.19,63,"1.0000","0.14284"
"64","GO:0048468","cell development",527,1,0.16,64,"1.0000","0.15136"
"65","GO:0006366","transcription by RNA polymerase II",542,1,0.17,65,"1.0000","0.15536"
"66","GO:2000026","regulation of multicellular organismal development",582,1,0.18,66,"1.0000","0.16596"
"67","GO:0031323","regulation of cellular metabolic process",3658,4,1.13,67,"1.0000","0.16880"
"68","GO:0006259","DNA metabolic process",615,1,0.19,68,"1.0000","0.17461"
"69","GO:0060560","developmental growth involved in morphogenesis",633,1,0.19,69,"1.0000","0.17930"
"70","GO:0090558","plant epidermis development",637,1,0.2,70,"1.0000","0.18034"
"71","GO:2000241","regulation of reproductive process",658,1,0.2,71,"1.0000","0.18578"
"72","GO:0006979","response to oxidative stress",675,1,0.21,72,"1.0000","0.19015"
"73","GO:0010015","root morphogenesis",686,1,0.21,73,"1.0000","0.19298"
"74","GO:0009908","flower development",711,1,0.22,74,"1.0000","0.19936"
"75","GO:0090567","reproductive shoot system development",747,1,0.23,75,"1.0000","0.20847"
"76","GO:0031347","regulation of defense response",776,1,0.24,76,"0.2157","0.21575"
"77","GO:0051239","regulation of multicellular organismal process",789,1,0.24,77,"1.0000","0.21899"
"78","GO:0016049","cell growth",808,1,0.25,78,"1.0000","0.22371"
"79","GO:0009605","response to external stimulus",3003,2,0.92,79,"1.0000","0.23367"
"80","GO:0008610","lipid biosynthetic process",860,1,0.26,80,"0.2365","0.23650"
"81","GO:0010033","response to organic substance",4399,4,1.35,81,"1.0000","0.23836"
"82","GO:0080134","regulation of response to stress",907,1,0.28,82,"1.0000","0.24791"
"83","GO:0009755","hormone-mediated signaling pathway",1086,2,0.33,83,"1.0000","0.25027"
"84","GO:0050794","regulation of cellular process",5779,5,1.78,84,"1.0000","0.25445"
"85","GO:0009059","macromolecule biosynthetic process",4650,4,1.43,85,"0.3235","0.25503"
"86","GO:0051716","cellular response to stimulus",3793,3,1.17,86,"1.0000","0.26159"
"87","GO:1905392","plant organ morphogenesis",971,1,0.3,87,"1.0000","0.26320"
"88","GO:0019222","regulation of metabolic process",4849,4,1.49,88,"1.0000","0.27315"
"89","GO:0044255","cellular lipid metabolic process",1088,1,0.33,89,"0.2905","0.29048"
"90","GO:0032870","cellular response to hormone stimulus",1324,2,0.41,90,"1.0000","0.29836"
"91","GO:0071495","cellular response to endogenous stimulus",1354,2,0.42,91,"1.0000","0.30424"
"92","GO:0048583","regulation of response to stimulus",1387,2,0.43,92,"1.0000","0.31066"
"93","GO:0048364","root development",1237,1,0.38,93,"1.0000","0.32396"
"94","GO:0022622","root system development",1252,1,0.39,94,"1.0000","0.32725"
"95","GO:0033554","cellular response to stress",1253,1,0.39,95,"1.0000","0.32747"
"96","GO:0009266","response to temperature stimulus",1315,1,0.4,96,"0.3409","0.34093"
"97","GO:0030154","cell differentiation",1402,1,0.43,97,"1.0000","0.35944"
"98","GO:0006629","lipid metabolic process",1424,1,0.44,98,"1.0000","0.36405"
"99","GO:0048589","developmental growth",1455,1,0.45,99,"1.0000","0.37049"
"100","GO:0048731","system development",4174,2,1.28,100,"1.0000","0.37751"
"101","GO:0006355","regulation of DNA-templated transcription",2293,3,0.71,101,"0.3200","0.38128"
"102","GO:1903506","regulation of nucleic acid-templated transcription",2293,3,0.71,102,"1.0000","0.38128"
"103","GO:2001141","regulation of RNA biosynthetic process",2298,3,0.71,103,"1.0000","0.38204"
"104","GO:0071310","cellular response to organic substance",1814,2,0.56,104,"1.0000","0.38933"
"105","GO:0050793","regulation of developmental process",1576,1,0.49,105,"1.0000","0.39512"
"106","GO:0048869","cellular developmental process",1578,1,0.49,106,"1.0000","0.39552"
"107","GO:0010556","regulation of macromolecule biosynthetic process",2538,3,0.78,107,"1.0000","0.41747"
"108","GO:0006351","DNA-templated transcription",2559,3,0.79,108,"1.0000","0.42049"
"109","GO:0097659","nucleic acid-templated transcription",2560,3,0.79,109,"1.0000","0.42063"
"110","GO:0032774","RNA biosynthetic process",2565,3,0.79,110,"1.0000","0.42135"
"111","GO:0051252","regulation of RNA metabolic process",2568,3,0.79,111,"1.0000","0.42178"
"112","GO:0048367","shoot system development",1792,1,0.55,112,"1.0000","0.43703"
"113","GO:1901576","organic substance biosynthetic process",6661,4,2.05,113,"1.0000","0.44190"
"114","GO:0040007","growth",1818,1,0.56,114,"1.0000","0.44190"
"115","GO:0009725","response to hormone",2696,3,0.83,115,"1.0000","0.44986"
"116","GO:0031326","regulation of cellular biosynthetic process",2768,3,0.85,116,"1.0000","0.44988"
"117","GO:0009719","response to endogenous stimulus",2722,3,0.84,117,"1.0000","0.45342"
"118","GO:0009653","anatomical structure morphogenesis",1901,1,0.59,118,"1.0000","0.45721"
"119","GO:0007165","signal transduction",2239,2,0.69,119,"1.0000","0.46006"
"120","GO:0070887","cellular response to chemical stimulus",2258,2,0.69,120,"1.0000","0.46305"
"121","GO:0034654","nucleobase-containing compound biosynthetic process",2867,3,0.88,121,"1.0000","0.46337"
"122","GO:0023052","signaling",2280,2,0.7,122,"1.0000","0.46651"
"123","GO:0009889","regulation of biosynthetic process",2902,3,0.89,123,"1.0000","0.46808"
"124","GO:0019219","regulation of nucleobase-containing compound metabolic process",2929,3,0.9,124,"1.0000","0.47169"
"125","GO:0009058","biosynthetic process",7016,4,2.16,125,"1.0000","0.47454"
"126","GO:0007275","multicellular organism development",5017,2,1.54,126,"1.0000","0.47909"
"127","GO:0009888","tissue development",2067,1,0.64,127,"1.0000","0.48676"
"128","GO:0007154","cell communication",2485,2,0.76,128,"1.0000","0.49778"
"129","GO:0009416","response to light stimulus",2180,1,0.67,129,"1.0000","0.50608"
"130","GO:0099402","plant organ development",2255,1,0.69,130,"1.0000","0.51855"
"131","GO:0009314","response to radiation",2295,1,0.71,131,"1.0000","0.52510"
"132","GO:0018130","heterocycle biosynthetic process",3355,3,1.03,132,"1.0000","0.52610"
"133","GO:0032501","multicellular organismal process",5459,2,1.68,133,"1.0000","0.52986"
"134","GO:0048608","reproductive structure development",2330,1,0.72,134,"1.0000","0.53076"
"135","GO:0061458","reproductive system development",2330,1,0.72,135,"1.0000","0.53076"
"136","GO:0044237","cellular metabolic process",11864,5,3.65,136,"1.0000","0.53125"
"137","GO:0044260","cellular macromolecule metabolic process",2417,1,0.74,137,"1.0000","0.54458"
"138","GO:0051171","regulation of nitrogen compound metabolic process",3545,3,1.09,138,"1.0000","0.54887"
"139","GO:0006952","defense response",2468,1,0.76,139,"1.0000","0.55252"
"140","GO:0019438","aromatic compound biosynthetic process",3607,3,1.11,140,"1.0000","0.55610"
"141","GO:0051707","response to other organism",2500,1,0.77,141,"1.0000","0.55744"
