"","GO.ID","Term","Annotated","Significant","Expected","Rank in elimFisher","classicFisher","elimFisher"
"1","GO:0000812","Swr1 complex",17,1,0.01,1,"0.0052","0.0052"
"2","GO:0035267","NuA4 histone acetyltransferase complex",23,1,0.01,2,"0.0070","0.0070"
"3","GO:0005886","plasma membrane",2840,3,0.87,3,"0.0457","0.0457"
"4","GO:0071944","cell periphery",3365,3,1.03,4,"1.0000","0.0705"
"5","GO:0016020","membrane",4669,3,1.43,5,"1.0000","0.1557"
"6","GO:0009941","chloroplast envelope",661,1,0.2,6,"0.1858","0.1858"
"7","GO:0043231","intracellular membrane-bounded organelle",17262,7,5.29,7,"1.0000","0.1861"
"8","GO:0043227","membrane-bounded organelle",17295,7,5.3,8,"1.0000","0.1883"
"9","GO:0043229","intracellular organelle",17459,7,5.35,9,"1.0000","0.1990"
"10","GO:0043226","organelle",17482,7,5.36,10,"1.0000","0.2006"
"11","GO:0009526","plastid envelope",915,1,0.28,11,"1.0000","0.2489"
"12","GO:0005911","cell-cell junction",954,1,0.29,12,"1.0000","0.2582"
"13","GO:0070161","anchoring junction",954,1,0.29,13,"1.0000","0.2582"
"14","GO:0009506","plasmodesma",954,1,0.29,14,"0.2582","0.2582"
"15","GO:0055044","symplast",954,1,0.29,15,"1.0000","0.2582"
"16","GO:0030054","cell junction",956,1,0.29,16,"1.0000","0.2587"
"17","GO:0005739","mitochondrion",3593,2,1.1,17,"0.3039","0.3039"
"18","GO:0005622","intracellular anatomical structure",18852,7,5.78,18,"1.0000","0.3157"
"19","GO:0031975","envelope",1318,1,0.4,19,"1.0000","0.3404"
"20","GO:0031967","organelle envelope",1318,1,0.4,20,"1.0000","0.3404"
"21","GO:0005634","nucleus",9496,4,2.91,21,"0.4130","0.4875"
"22","GO:0110165","cellular anatomical entity",20963,7,6.43,22,"1.0000","0.5975"
"23","GO:0005829","cytosol",2926,1,0.9,23,"0.6170","0.6170"
"24","GO:0005737","cytoplasm",13222,4,4.05,24,"1.0000","0.6684"
"25","GO:0009507","chloroplast",4675,1,1.43,25,"1.0000","0.7988"
"26","GO:0009536","plastid",5116,1,1.57,26,"1.0000","0.8306"
"27","GO:0031974","membrane-enclosed lumen",1100,1,0.34,27,"1.0000","1.0000"
"28","GO:0097346","INO80-type complex",40,1,0.01,28,"1.0000","1.0000"
"29","GO:1990234","transferase complex",716,1,0.22,29,"1.0000","1.0000"
"30","GO:0005654","nucleoplasm",384,1,0.12,30,"1.0000","1.0000"
"31","GO:0000785","chromatin",241,1,0.07,31,"1.0000","1.0000"
"32","GO:0140535","intracellular protein-containing complex",714,1,0.22,32,"1.0000","1.0000"
"33","GO:1902493","acetyltransferase complex",79,1,0.02,33,"1.0000","1.0000"
"34","GO:0000118","histone deacetylase complex",62,1,0.02,34,"1.0000","1.0000"
