"","GO.ID","Term","Annotated","Significant","Expected","Rank in elimFisher","classicFisher","elimFisher"
"1","GO:0010328","auxin influx transmembrane transporter activity",7,1,0,1,"0.0019","0.0019"
"2","GO:0015081","sodium ion transmembrane transporter activity",45,2,0.01,2,"0.0035","0.0035"
"3","GO:0008559","ABC-type xenobiotic transporter activity",15,1,0,3,"0.0041","0.0041"
"4","GO:0010329","auxin efflux transmembrane transporter activity",18,1,0,4,"0.0050","0.0050"
"5","GO:0015386","potassium:proton antiporter activity",19,1,0.01,5,"0.0052","0.0052"
"6","GO:0003677","DNA binding",1703,3,0.47,6,"0.0040","0.0081"
"7","GO:0015385","sodium:proton antiporter activity",30,1,0.01,7,"0.0083","0.0083"
"8","GO:0003714","transcription corepressor activity",33,1,0.01,8,"0.0091","0.0091"
"9","GO:0000156","phosphorelay response regulator activity",34,1,0.01,9,"0.0094","0.0094"
"10","GO:0015079","potassium ion transmembrane transporter activity",67,2,0.02,10,"0.0106","0.0110"
"11","GO:0016887","ATP hydrolysis activity",356,1,0.1,11,"0.0945","0.0945"
"12","GO:0017111","ribonucleoside triphosphate phosphatase activity",564,1,0.16,12,"1.0000","0.1462"
"13","GO:0016462","pyrophosphatase activity",621,1,0.17,13,"1.0000","0.1599"
"14","GO:0016818","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",629,1,0.17,14,"1.0000","0.1618"
"15","GO:0016817","hydrolase activity, acting on acid anhydrides",634,1,0.18,15,"1.0000","0.1630"
"16","GO:0005515","protein binding",5689,3,1.57,16,"0.1892","0.1892"
"17","GO:0001067","transcription regulatory region nucleic acid binding",932,1,0.26,17,"1.0000","0.2316"
"18","GO:0000976","transcription cis-regulatory region binding",932,1,0.26,18,"0.2316","0.2316"
"19","GO:1990837","sequence-specific double-stranded DNA binding",952,1,0.26,19,"1.0000","0.2360"
"20","GO:0003690","double-stranded DNA binding",1071,1,0.3,20,"1.0000","0.2620"
"21","GO:0043565","sequence-specific DNA binding",1183,1,0.33,21,"1.0000","0.2857"
"22","GO:0140110","transcription regulator activity",1630,2,0.45,22,"1.0000","0.3181"
"23","GO:0003700","DNA-binding transcription factor activity",1511,1,0.42,23,"0.3515","0.3515"
"24","GO:0016787","hydrolase activity",2578,1,0.71,24,"1.0000","0.5319"
"25","GO:0005488","binding",9693,4,2.68,25,"1.0000","0.7836"
"26","GO:0003824","catalytic activity",7694,1,2.13,26,"1.0000","0.9278"
"27","GO:0022804","active transmembrane transporter activity",552,2,0.15,27,"1.0000","1.0000"
"28","GO:0080161","auxin transmembrane transporter activity",21,1,0.01,28,"1.0000","1.0000"
