"CHR","BP","largest_theta","smallest_theta","absolute_theta","theta_range","largest_relative_theta","smallest_relative_theta","absolute_relative_theta","range_relative_theta","min_p","mean_p","log_mean_p","bigest_theta_p","pSNP4","pSNP5","bp_add","bp_cum","P"
"Cexcelsa_scaf_3",163764,65.9090909090909,0,65.9090909090909,65.9090909090909,1.33333333333333,0,1.33333333333333,1.33333333333333,3.03743470604825e-105,0.00547408936180022,44.3270487255054,3.03743470604825e-105,3.57295514624708e-39,3.57295514624708e-39,96916170,97079934,1.51724137931034e-09
"Cexcelsa_scaf_1",15099490,65.2113402061856,-0.0721649484536082,65.2113402061856,65.2835051546392,1.36915584415584,-0.00151515151515151,1.36915584415584,1.370670995671,9.97978612417989e-114,0.0180198713794472,41.1409237455854,9.97978612417989e-114,3.18960776498877e-34,3.27593898117137e-34,0,15099490,1.53347561457592e-09
"Cexcelsa_scaf_3",41506447,64.8666666666667,-0.200000000000001,64.8666666666667,65.0666666666667,1.30366542252847,-0.00401952339936838,1.30366542252847,1.30768494592784,6.22222153565241e-102,0.0323930504787346,33.2717841611831,6.22222153565241e-102,3.20782331643304e-27,3.437037098887e-27,96916170,138422617,1.54162384378212e-09
"Cexcelsa_scaf_1",15099250,64.6666666666667,-2.08333333333333,64.6666666666667,66.75,1.3591680350301,-0.0437876299945265,1.3591680350301,1.40295566502463,1.7673343135867e-104,0.0495532918013027,37.9086389165508,2.43730141370149e-104,5.08344996629297e-31,1.27005105734474e-30,0,15099250,1.54639175257732e-09
"Cexcelsa_scaf_3",43340369,64.2663316582915,-0.979899497487437,64.2663316582915,65.2462311557789,1.29732197200243,-0.019780888618381,1.29732197200243,1.31710286062082,1.58319479566498e-105,0.0573912168435352,37.2235399009786,1.58319479566498e-105,5.34728191747252e-29,7.18073965577334e-29,96916170,140256539,1.55602470873407e-09
"Cexcelsa_scaf_3",41496807,64.2365591397849,-0.96236559139785,64.2365591397849,65.1989247311828,1.39172976121142,-0.0208503203261503,1.39172976121142,1.41258008153757,2.78582177808423e-103,0.0218853230200509,41.9769975056748,2.78582177808423e-103,8.72388384808007e-37,1.1797951232642e-36,96916170,138412977,1.55674589889521e-09
"Cexcelsa_scaf_1",48923122,64,0,64,64,1.34316883116883,0,1.34316883116883,1.34316883116883,2.3543980935901e-89,0.0108769592124058,33.1049860442103,2.3543980935901e-89,2.68738822203947e-28,2.68738822203947e-28,0,48923122,1.5625e-09
"Cexcelsa_scaf_1",50115860,63.9004739336493,-2.80568720379147,63.9004739336493,66.7061611374408,1.21599927849928,-0.0533910533910534,1.21599927849928,1.26939033189033,4.42791633473291e-91,0.0592996063664446,31.0892505171557,4.42791633473291e-91,1.39628224848458e-26,2.22349698580704e-26,0,50115860,1.56493362011422e-09
"Cexcelsa_scaf_3",7569397,62.8190954773869,-3.5527136788005e-15,62.8190954773869,62.8190954773869,1.3441935483871,-7.60204324818602e-17,1.3441935483871,1.3441935483871,4.13085191384698e-94,0.00697395430302459,36.8612693025673,4.13085191384698e-94,9.18010756267894e-33,9.18010756267894e-33,96916170,104485567,1.59187265018798e-09
"Cexcelsa_scaf_3",41506450,62.7584541062802,-0.289855072463769,62.7584541062802,63.048309178744,1.31222222222222,-0.00606060606060609,1.31222222222222,1.31828282828283,1.32493270726788e-101,0.0337257056056453,34.5495080850855,1.32493270726788e-101,8.20492740177563e-29,9.1322662025347e-29,96916170,138422620,1.59341082287738e-09
