#queryIndex	queryItem	stringId	preferredName	annotation
1	AT5G64390.3	3702.AT5G64390.3	HEN4	Rna-binding kh domain-containing protein; Encodes a K homology (KH) domain-containing, putative RNA binding protein that interacts with HUA1, a CCCH zinc finger RNA binding protein in the nucleus. HEN4 acts redundantly with HUA1 and HUA2 in the specification of floral organ identity in the third whorl
2	AT2G42975.1	3702.AT2G42975.1	AT2G42975	Myosin-G heavy chain-like protein; Unknown protein; Its function is described as molecular_function unknown; Involved in biological_process unknown; Located in chloroplast thylakoid membrane, chloroplast; Has 32 Blast hits to 32 proteins in 16 species: Archae - 0; Bacteria - 0; Metazoa - 2; Fungi - 2; Plants - 28; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink)
3	AT2G33070.3	3702.AT2G33070.3	NSP2	Encodes a nitrile-specifier protein NSP2. NSP2 is one out of five (At3g16400/NSP1, At2g33070/NSP2, At3g16390/NSP3, At3g16410/NSP4 and At5g48180/NSP5) A. thaliana epithiospecifier protein (ESP) homologues that promote simple nitrile, but not epithionitrile or thiocyanate formation
6	AT2G09388.1	3702.AT2G09388.1	AT2G09388	Unknown protein; Has 6 Blast hits to 6 proteins in 2 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 6; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink)
7	AT3G49210.1	3702.AT3G49210.1	AT3G49210	O-acyltransferase (WSD1-like) family protein; Its function is described as molecular_function unknown; Involved in biological_process unknown; Located in cellular_component unknown; Expressed in 16 plant structures; Expressed during LP.06 six leaves visible, LP.04 four leaves visible, 4 anthesis, C globular stage, petal differentiation and expansion stage; Contains the following InterPro domains: O-acyltransferase, WSD1, C-terminal (InterPro:IPR009721), O-acyltransferase, WSD1, N-terminal (InterPro:IPR004255); BEST Arabidopsis thaliana protein match is: O-acyltransferase (WSD1-like) fa [...] 
8	AT5G16070.1	3702.AT5G16070.1	AT5G16070	TCP-1/cpn60 chaperonin family protein; Molecular chaperone; assists the folding of proteins upon ATP hydrolysis. Known to play a role, in vitro, in the folding of actin and tubulin
9	AT5G13000.1	3702.AT5G13000.1	GSL12	Glucan synthase-like 12; Involved in callose synthesis at the forming cell plate during cytokinesis. During plant growth and development, callose is found as a transitory component of the cell plate in dividing cells, is a major component of pollen mother cell walls and pollen tubes, and is found as a structural component of plasmodesmatal canals (By similarity); Belongs to the glycosyltransferase 48 family
10	AT3G07640.1	3702.AT3G07640.1	AT3G07640	Uncharacterized protein At3g07641; Unknown protein; Has 27 Blast hits to 27 proteins in 10 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 27; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink)
11	AT3G66658.2	3702.AT3G66658.2	ALDH22A1	Aldehyde dehydrogenase 22a1; Encodes a putative aldehyde dehydrogenase. The gene is not responsive to osmotic stress and is expressed constitutively at a low level in plantlets and root cultures
12	AT3G16890.1	3702.AT3G16890.1	PPR40	Putative pentatricopeptide repeat-containing protein at3g16890, mitochondrial; Encodes a mitochondrial pentatricopeptide repeat (PPR) domain protein, PPR40, which provides a signalling link between mitochondrial electron transport and regulation of stress and hormonal responses. Mutations in PPR40 result in enhanced sensitivity to salt, ABA and oxidative stress, as well as reduced electron transport through Complex III (cytochrome c reductase)
13	AT3G18750.3	3702.AT3G18750.3	WNK6	Probable serine/threonine-protein kinase WNK6; Encodes a member of the WNK family (9 members in all) of protein kinases, the structural design of which is clearly distinct from those of other known protein kinases, such as receptor-like kinases and mitogen-activated protein kinases. Its transcription is under the control of circadian rhythms
14	AT3G23255.2	3702.AT3G23255.2	AT3G23255	tRNA dimethylallyltransferase; Unknown protein; Its function is described as molecular_function unknown; Involved in biological_process unknown; Located in cellular_component unknown
20	AT3G63470.1	3702.AT3G63470.1	scpl40	Serine carboxypeptidase-like clade ii; Serine carboxypeptidase-like 40; Probable carboxypeptidase
22	AT3G60290.1	3702.AT3G60290.1	AT3G60290	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein; Its function is described as oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors, oxidoreductase activity; Involved in response to karrikin, biosynthetic process; Located in cellular_component unknown; Expressed in 17 plant structures; Expressed during 10 growth stages; Contains the following InterPro domains: Oxoglutarate/iron-dependent oxygenase (InterPro:IPR005123); BEST  [...] 
23	AT3G59220.1	3702.AT3G59220.1	PRN	Quercetin 2,3-dioxygenase; Pirin-1; Encodes a cupin-domain containing protein that is similar to pirins which interact with a CCAAT box binding transcription factor. The protein interacts with GPA1 (G protein alpha-subunit) in vitro. Mutants in the gene are affected in germination and early seedling development
25	AT3G55270.1	3702.AT3G55270.1	MKP1	Mitogen-activated protein kinase phosphatase 1; Protein-tyrosine-phosphatase that acts as a negative regulator of MPK6 and MPK3 signaling by dephosphorylating and repressing MPK6 and MPK3. Modulates defense response by repressing salicylic acid (SA) production, camalexin biosynthesis and SNC1- mediated responses. Acts as a negative regulator of MPK6-mediated pathogen-associated molecular pattern (PAMP) responses, including MPK6 and MPK3 activation, accumulation of extracellular reactive oxygen species and inhibition of seedling growth. Involved in UV-B stress tolerance. May be involved [...] 
26	AT3G53460.4	3702.AT3G53460.4	CP29	Chloroplast rna-binding protein 29; Stabilizes specific chloroplast mRNAs. Required for normal chloroplast development under cold stress conditions by stabilizing transcripts of numerous mRNAs under these conditions
28	AT3G52450.1	3702.AT3G52450.1	PUB22	E3 ubiquitin-protein ligase PUB22; E3 ubiquitin-protein ligase that negatively regulates water stress response. May control in coordination with PUB23 a drought signaling pathway by ubiquitinating cytosolic RPN12a. Acts as negative regulator of the immunity triggered by the pathogen- associated molecular patterns (PAMPs), in association with PUB23 and PUB24. Regulates EXO70B2 ubiquitination and degradation via the 26S proteasome to attenuate PAMP-induced signaling
29	AT3G51610.1	3702.AT3G51610.1	NPU	ATP-dependent helicase/deoxyribonuclease subunit B; Unknown protein; Its function is described as molecular_function unknown; Involved in response to oxidative stress; Located in endomembrane system; Expressed in 25 plant structures; Expressed during 15 growth stages; Has 53 Blast hits to 53 proteins in 21 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 48; Viruses - 0; Other Eukaryotes - 5 (source: NCBI BLink)
30	AT3G51550.1	3702.AT3G51550.1	FER	Malectin/receptor-like protein kinase family protein; Receptor-like protein kinase that mediates the female control of male gamete delivery during fertilization, including growth cessation of compatible pollen tubes ensuring a reproductive isolation barriers, by regulating MLO7 subcellular polarization upon pollen tube perception in the female gametophyte synergids. Required for cell elongation during vegetative growth, mostly in a brassinosteroids- (BR-) independent manner. Acts as an upstream regulator for the Rac/Rop-signaling pathway that controls ROS-mediated root hair development [...] 
31	AT5G54540.1	3702.AT5G54540.1	AT5G54540	Uncharacterised conserved protein (UCP012943); Contains the following InterPro domains: Uncharacterised conserved protein UCP012943 (InterPro:IPR016606); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink)
33	AT5G58240.1	3702.AT5G58240.1	FHIT	Bis(5'-adenosyl)-triphosphatase; Possesses dinucleoside triphosphate hydrolase activity. Cleaves P(1)-P(3)-bis(5'-adenosyl) triphosphate (Ap3A) to yield AMP and ADP. In addition, possesses adenylylsulfatase and nucleoside phosphoramidase activities. Liberates AMP from natural metabolites such as 5'-adenylyl sulfate and adenosine 5'-phosphoramidate. Recognizes synthetic nucleotides, such as adenosine 5'-O-phosphorofluoridate and adenosine 5'-O-(gamma-fluorotriphosphate), and releases AMP from them
34	AT5G06600.1	3702.AT5G06600.1	UBP12	Ubiquitin carboxyl-terminal hydrolase 12; Recognizes and hydrolyzes the peptide bond at the C- terminal Gly of ubiquitin. Involved in the processing of poly- ubiquitin precursors as well as that of ubiquitinated proteins (By similarity); Belongs to the peptidase C19 family
35	AT1G01340.2	3702.AT1G01340.2	CNGC10	Probable cyclic nucleotide-gated ion channel 10; Member of Cyclic nucleotide gated channel family
36	AT1G14790.1	3702.AT1G14790.1	RDR1	RNA-dependent RNA polymerase 1; RNA-dependent direct polymerase involved in antiviral silencing. Required for the production of some small RNAs (mainly 21 and some 22 nucleotides) derived from the crucifer-infecting tobamovirus (TMV-cg). Required for turnip mosaic virus (TuMV) silencing and accumulation of viral siRNAs. Involved in cucumber mosaic virus (CMV) silencing. Required for the biogenesis of viral secondary siRNAs, process that follows the production of primary siRNAs derived from viral RNA replication. Specifically targets the positive-strand of the 3 RNA genomes of CMV and p [...] 
37	AT1G21100.1	3702.AT1G21100.1	IGMT1	Hydroxy-3-indolylmethylglucosinolate O-methyltransferase; Involved in indole glucosinolate biosynthesis. Catalyzes methoxylation reactions of the glucosinolate indole ring. Converts the hydroxy intermediates 4-hydroxy-indol-3-yl-methylglucosinolate (4OH- I3M) and 1-hydroxy-indol-3-yl-methylglucosinolate (1OH-I3M) to 4- methoxy-indol-3-yl-methylglucosinolate (4MO-I3M) and 1-methoxy-indol-3- yl-methylglucosinolate (1MO-I3M), respectively
38	AT4G22390.1	3702.AT4G22390.1	AT4G22390	F-box associated ubiquitination effector family protein; Contains the following InterPro domains: F-box associated interaction domain (InterPro:IPR017451); BEST Arabidopsis thaliana protein match is: F-box and associated interaction domains-containing protein (TAIR:AT4G12560.2); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink)
39	AT5G02880.1	3702.AT5G02880.1	UPL4	E3 ubiquitin-protein ligase TRIP12; E3 ubiquitin-protein ligase UPL4; Probable E3 ubiquitin-protein ligase which mediates ubiquitination and subsequent proteasomal degradation of target proteins
41	AT2G39260.1	3702.AT2G39260.1	AT2G39260	Regulator of nonsense transcripts UPF2; Recruited by UPF3 associated with the EJC core at the cytoplasmic side of the nuclear envelope and the subsequent formation of an UPF1-UPF2-UPF3 surveillance complex (including UPF1 bound to release factors at the stalled ribosome) is believed to activate NMD. In cooperation with UPF3 stimulates both ATPase and RNA helicase activities of UPF1. Binds spliced mRNA (By similarity). Involved in nonsense-mediated decay (NMD) of mRNAs containing premature stop codons by associating with the nuclear exon junction complex (EJC). Required for plant develo [...] 
42	AT2G39350.1	3702.AT2G39350.1	ABCG1	ABC-2 type transporter family protein; Its function is described as ATPase activity, coupled to transmembrane movement of substances; Involved in response to nematode; Located in plasma membrane; Expressed in 15 plant structures; Expressed during 4 anthesis, C globular stage, petal differentiation and expansion stage, E expanded cotyledon stage; Contains the following InterPro domains: ATPase, AAA+ type, core (InterPro:IPR003593), ABC transporter-like (InterPro:IPR003439), ABC-2 type transporter (InterPro:IPR013525), ABC transporter, conserved site (InterPro:IPR017871); BEST Arabidopsi [...] 
44	AT4G09680.1	3702.AT4G09680.1	CTC1	Conserved telomere maintenance component 1; Component of the CST complex, a complex that binds to single-stranded DNA and is required to protect telomeres from DNA degradation. The CST complex binds single-stranded DNA with high affinity in a sequence-independent manner, while isolated subunits bind DNA with low affinity by themselves. Associates with enzymatically active telomerase
45	AT4G10310.1	3702.AT4G10310.1	HKT1	High-affinity K+ transporter 1; Sodium transporter protein, which plays a central role in plant tolerance to salt. Upon prolongated exposure to high concentrations, Na(+) translocates from the roots to the transpiring leaves where it can increase to toxic level. Involved in Na(+) recirculation from shoots to roots, probably by mediating Na(+) loading into the phloem sap in shoots and unloading in roots, thereby removing large amounts of Na(+) from the shoot. Does not transport K(+) but regulates K(+) nutrient status via its ability to facilitate Na(+) homeostasis. Probably not involved [...] 
46	AT2G38430.1	3702.AT2G38430.1	AT2G38430	Unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G54310.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink)
47	AT1G61370.1	3702.AT1G61370.1	AT1G61370	G-type lectin S-receptor-like serine/threonine-protein kinase At1g61370; S-locus lectin protein kinase family protein; Its function is described as in 6 functions; Involved in protein amino acid phosphorylation, recognition of pollen; Located in endomembrane system; Expressed in 13 plant structures; Expressed during 4 anthesis, F mature embryo stage, petal differentiation and expansion stage, E expanded cotyledon stage, D bilateral stage; Contains the following InterPro domains: Curculin-like (mannose-binding) lectin (InterPro:IPR001480), PAN-2 domain (InterPro:IPR013227), Apple-like ( [...] 
