CHR,BP,ID,Type,Ortholog ID,Function
Cexcelsa_scaf_4,868320,g235.,gene,AT5G64390.3,"Note=RNA-binding KH domain-containing protein: curator_summary=encodes a K homology (KH) domain-containing, putative RNA binding protein that interacts with HUA1, a CCCH zinc finger RNA binding protein in the nucleus. HEN4 acts redundantly with HUA1 and HUA2 in the specification of floral organ identity in the third whorl. The mRNA is cell-to-cell mobile.: symbol=HEN4: full_name=HUA ENHANCER 4: computational_description=RNA-binding KH domain-containing protein: conf_class=1: conf_rating=*****: conf_class=6: conf_rating=**: "
Cexcelsa_scaf_4,1435550,g382.,gene,AT2G42975.1,Note=None: conf_class=2: computational_description=myosin-G heavy chain-like protein: conf_rating=****: symbol=None: curator_summary=None: 
Cexcelsa_scaf_4,4568719,g1209.,gene,AT2G33070.3,"Note=nitrile specifier protein 2: curator_summary=Encodes a nitrile-specifier protein NSP2. NSP2 is one out of five (At3g16400/NSP1, At2g33070/NSP2, At3g16390/NSP3, At3g16410/NSP4 and At5g48180/NSP5) A. thaliana epithiospecifier protein (ESP) homologues that promote simple nitrile, but not epithionitrile or thiocyanate formation.: symbol=NSP2: full_name=nitrile specifier protein 2: computational_description=nitrile specifier protein 2: conf_class=2: conf_rating=****: conf_class=6: conf_rating=**: conf_class=4: conf_rating=***: "
Cexcelsa_scaf_4,4801887,g1270.,gene,AT4G23160.2,full_name=cysteine-rich RLK (RECEPTOR-like protein kinase) 8: Note=None: curator_summary=Encodes a cysteine-rich receptor-like protein kinase.: conf_class=6: symbol=None: computational_description=cysteine-rich RECEPTOR-like kinase: conf_rating=**: 
Cexcelsa_scaf_4,5258011,g1363.,gene,AT4G23160.2,full_name=cysteine-rich RLK (RECEPTOR-like protein kinase) 8: Note=None: curator_summary=Encodes a cysteine-rich receptor-like protein kinase.: conf_class=6: symbol=None: computational_description=cysteine-rich RECEPTOR-like kinase: conf_rating=**: 
Cexcelsa_scaf_4,7993625,g1889.,gene,AT2G09388.1,Note=None: conf_class=10: computational_description=hypothetical protein: symbol=None: curator_summary=None: 
Cexcelsa_scaf_4,10836420,g2635.,gene,AT3G49210.1,Note=O-acyltransferase (WSD1-like) family protein: computational_description=O-acyltransferase (WSD1-like) family protein: conf_class=2: conf_rating=****: symbol=WSD6: curator_summary=WSD6 can function in vitro as wax ester synthase but does not appear to be essential for cuticular wax biosynthesis.: 
Cexcelsa_scaf_4,24871459,g5070.,gene,AT5G16070.1,Note=TCP-1/cpn60 chaperonin family protein: computational_description=TCP-1/cpn60 chaperonin family protein: conf_class=2: conf_rating=****: symbol=CCT6-1: curator_summary=None: 
Cexcelsa_scaf_4,25724756,g5295.,gene,AT5G13000.1,Note=glucan synthase-like 12: curator_summary=encodes a gene similar to callose synthase: symbol=GSL12: full_name=glucan synthase-like 12: computational_description=glucan synthase-like 12: conf_class=2: conf_rating=****: conf_class=6: conf_rating=**: 
Cexcelsa_scaf_4,35476164,g7575.,gene,AT3G07640.1,Note=None: computational_description=period circadian protein: conf_class=2: conf_rating=****: symbol=PBAC5: curator_summary=None: 
Cexcelsa_scaf_4,35657905,g7632.,gene,AT3G66658.2,Note=aldehyde dehydrogenase 22A1: curator_summary=Encodes a putative aldehyde dehydrogenase. The gene is not responsive to osmotic stress and is expressed constitutively at a low level in plantlets and root cultures.: symbol=ALDH22A1: full_name=aldehyde dehydrogenase 22A1: computational_description=aldehyde dehydrogenase 22A1: conf_class=2: conf_rating=****: 
Cexcelsa_scaf_1,10770473,g12064.,gene,AT3G16890.1,"Note=pentatricopeptide (PPR) domain protein 40: curator_summary=Encodes a mitochondrial pentatricopeptide repeat (PPR) domain protein, PPR40, which provides a signalling link between mitochondrial electron transport and regulation of stress and hormonal responses.  Mutations in PPR40 result in enhanced sensitivity to salt, ABA and oxidative stress, as well as reduced electron transport through Complex III (cytochrome c reductase).: symbol=PPR40: full_name=pentatricopeptide (PPR) domain protein 40: computational_description=pentatricopeptide (PPR) domain protein 40: conf_class=1: conf_rating=*****: "
